Row,Warehouse_1,Warehouse_2
PL001,0.38424373705146,1.38622754501474
PL002,0.385382814925771,1.3889709231706
PL003,0.415620762540202,1.39996058575661
PL004,0.395850255261929,1.39867422322739
PL005,0.407525630714077,1.40613560321091
PL006,0.400481712947949,1.38966421712353
PL007,0.411491316829492,1.41620720247823
PL008,0.435118709676135,1.42094272232305
PL009,0.389570269383255,1.38070134488985
PL010,0.405387030636755,1.40615472921591
PL011,0.421010621198062,1.4164576344482
PL012,0.400438069802532,1.39978537786282
PL013,0.393618855937215,1.4005139353707
PL014,0.42970795898462,1.41907967331999
PL015,0.418901064380529,1.41366534348536
PL016,0.391503645691511,1.39779740352013
PL017,0.399218706944257,1.41029430421166
PL018,0.406689676255909,1.37676205790152
PL019,0.415307592856429,1.40912703844354
PL020,0.407049333362089,1.40143394976755
PL021,0.377185705430878,1.37538622310785
PL022,0.404746814068723,1.37491627716816
PL023,0.385447416434978,1.39159746560358
PL024,0.398740501489112,1.40819802278767
PL025,0.429000162625875,1.40924599666375
PL026,0.415777136557678,1.41172113993543
PL027,0.397736470326932,1.37846766615047
PL028,0.406468069689908,1.41696513009508
PL029,0.399732261198008,1.38466993697834
PL030,0.379785828157017,1.3756479698086
PL031,0.404013266642823,1.40577037434443
PL032,0.386934205816283,1.38487249269617
PL033,0.419053451869071,1.41023249020242
PL034,0.394171436945057,1.3889965199578
PL035,0.430116546527148,1.40676358867043
PL036,0.402666615069142,1.40838620591724
PL037,0.413531187610262,1.38116743603645
PL038,0.400309180157988,1.37192325765333
PL039,0.3766379766827,1.37471280756207
PL040,0.407187661470725,1.40418722350204
PL041,0.425023151781951,1.41840892058215
PL042,0.40912022480508,1.39811992755847
PL043,0.426180525668546,1.40259408112911
PL044,0.376302055500338,1.37769677346154
PL045,0.408733981205363,1.39734048900801
PL046,0.376275995579775,1.37683680403725
PL047,0.388702306950035,1.39128625395542
PL048,0.393144079851623,1.3851258787265
PL049,0.373515165906052,1.37348395340024
PL050,0.389388600715586,1.37837114705717
PL051,0.419342716333592,1.40790513828191
PL052,0.407679693377414,1.39126485211076
PL053,0.405763451051177,1.39115685528263
PL054,0.39353989816084,1.39312148801142
PL055,0.420206743285158,1.39350169583847
PL056,0.382673520916092,1.37529768807071
PL057,0.410098384759565,1.41148641567894
PL058,0.420681821762065,1.40146331046069
PL059,0.424367105689006,1.41159573107144
PL060,0.414013608351848,1.4092048462069
PL061,0.413633734344692,1.41636746654238
PL062,0.400628685786369,1.41243329271493
PL063,0.388615965832732,1.38468223263867
PL064,0.393936538356501,1.38239314327882
PL065,0.400809615607657,1.40657720629477
PL066,0.425405068342389,1.4094658373902
PL067,0.428415200577237,1.41799320241543
PL068,0.403487339911278,1.4093091875855
PL069,0.384698833404865,1.37533574849298
PL070,0.407577092179102,1.38526185795639
PL071,0.412322735118282,1.38134518048937
PL072,0.428559931066008,1.41160906710765
PL073,0.403231840626475,1.37708662729456
PL074,0.392852745386295,1.37595035700869
PL075,0.402129483259906,1.37422197118852
PL076,0.380922743583383,1.37105258943158
PL077,0.424949308652825,1.39909597252612
PL078,0.396371614918577,1.37551256840059
PL079,0.413075372757582,1.40785601196906
PL080,0.432028596828285,1.40952370939408
PL081,0.415807257741531,1.41500099947704
PL082,0.418604728409375,1.39760429660474
PL083,0.422772320871708,1.41417087951326
PL084,0.397380498758483,1.39166834587228
PL085,0.382386662233989,1.37631787459544
PL086,0.400456027824474,1.39195886586916
PL087,0.431611316897805,1.42075957125995
PL088,0.420135989858457,1.39623034325021
PL089,0.412522067190728,1.38414908335193
PL090,0.404092933197268,1.38350804538506
PL091,0.400122559538015,1.39676630785977
PL092,0.4292729192303,1.40528495562376
PL093,0.410474525059894,1.38794638174879
PL094,0.372999195782031,1.37072180449172
PL095,0.387289612615345,1.39113213461975
PL096,0.40856948088,1.41201567641583
PL097,0.413870693266569,1.39981548233658
PL098,0.399181024220643,1.38750822148825
PL099,0.397481208466598,1.39676977882692
PL100,0.414726443862246,1.41525472756598
PL101,0.399792568151517,1.39420522891074
PL102,0.404616247029952,1.37931301883311
PL103,0.417231614844014,1.39868522546459
PL104,0.425651740238071,1.41975976018994
PL105,0.381661057286555,1.38389026328569
PL106,0.399735678547828,1.41029669624617
PL107,0.389006284564646,1.38423480047168
PL108,0.384976578906417,1.37791012671111
PL109,0.387914709034988,1.37150781087918
PL110,0.415623641010897,1.38420570121442
PL111,0.395521543604558,1.38702190755776
PL112,0.380105704445194,1.37616480349248
PL113,0.388461059092217,1.38403856097096
PL114,0.390154254551765,1.37024073704837
PL115,0.421597814246832,1.42099530142624
PL116,0.414456687511977,1.41095953107201
PL117,0.410493206923968,1.37591799615654
PL118,0.423548156787572,1.41512447481374
PL119,0.402635203855626,1.39763079751558
PL120,0.389766463050825,1.38989112997899
PL121,0.414534963016937,1.35365793341906
PL122,0.342557079742515,1.33965782100556
PL123,0.378545409275289,1.28017514336066
PL124,0.37912169095006,1.32388328093333
PL125,0.396828832915098,1.41531808174582
PL126,0.411333497588523,1.42507080396143
PL127,0.392656226774389,1.33602435975648
PL128,0.373801893950531,1.29570225790576
PL129,0.337519736580152,1.31857907417224
PL130,0.278473972948934,1.31375830077311
PL131,0.341697848061342,1.28375825433082
PL132,0.452448909831805,1.43751399505638
PL133,0.387444729535568,1.35237105947573
PL134,0.311182147008414,1.2787549666269
PL135,0.39752584832344,1.3074516572905
PL136,0.377083336315398,1.42273950274634
PL137,0.391215768515149,1.3203946387305
PL138,0.369681223954289,1.37619312166715
PL139,0.397343715099872,1.41906726134681
PL140,0.404118810503325,1.43430209824011
PL141,0.321224224675035,1.33601856048541
PL142,0.398032784962978,1.33696809853613
PL143,0.348026908925866,1.29003082800647
PL144,0.274520599830678,1.30902320070971
